solar_field_id,device_id,device_name,model,modules,capacity_kwp,status
SF-001,SF-001-INV-01,Inverter 01,SUN2000-484KTL,1012,556.6,online
SF-001,SF-001-INV-02,Inverter 02,SUN2000-472KTL,986,542.3,online
SF-001,SF-001-INV-03,Inverter 03,SUN2000-495KTL,1034,568.7,online
SF-001,SF-001-INV-04,Inverter 04,SUN2000-477KTL,998,548.9,online
SF-001,SF-001-INV-05,Inverter 05,SUN2000-336KTL,702,386.1,online
SF-001,SF-001-INV-06,Inverter 06,SUN2000-482KTL,1008,554.4,online
SF-001,SF-001-INV-07,Inverter 07,SUN2000-467KTL,976,536.8,online
SF-001,SF-001-INV-08,Inverter 08,SUN2000-488KTL,1020,561.0,online
SF-002,SF-002-INV-01,Inverter 01,SG504HX,1044,579.42,online
SF-002,SF-002-INV-02,Inverter 02,SG476HX,986,547.23,online
SF-002,SF-002-INV-03,Inverter 03,SG488HX,1012,561.66,online
SF-002,SF-002-INV-04,Inverter 04,SG467HX,968,537.24,online
SF-002,SF-002-INV-05,Inverter 05,SG497HX,1030,571.65,online
SF-003,SF-003-INV-01,Inverter 01,X3-MEGA-448,954,515.16,online
SF-003,SF-003-INV-02,Inverter 02,X3-MEGA-424,902,487.08,online
SF-003,SF-003-INV-03,Inverter 03,X3-MEGA-435,926,500.04,online
SF-004,SF-004-INV-01,Inverter 01,SG521HX,1024,599.04,online
SF-004,SF-004-INV-02,Inverter 02,SG508HX,998,583.83,online
SF-004,SF-004-INV-03,Inverter 03,SG530HX,1042,609.57,online
SF-004,SF-004-INV-04,Inverter 04,SG514HX,1010,590.85,online
SF-004,SF-004-INV-05,Inverter 05,SG502HX,986,576.81,online
SF-004,SF-004-INV-06,Inverter 06,SG524HX,1030,602.55,online
SF-004,SF-004-INV-07,Inverter 07,SG512HX,1006,588.51,online
SF-004,SF-004-INV-08,Inverter 08,SG492HX,968,566.28,online
SF-004,SF-004-INV-09,Inverter 09,SG534HX,1050,614.25,online
SF-004,SF-004-INV-10,Inverter 10,SG515HX,1012,592.02,online
SF-005,SF-005-INV-01,Inverter 01,R6-419K,884,481.78,online
SF-005,SF-005-INV-02,Inverter 02,R6-407K,858,467.61,online
